Year model,Car Spec,Kilometres,Price,Transmission,Body type,Drive type,Fuel type,Fuel consumption per 100km,Colour ext,VIN,Dealer,Address,Seating capacity,Doors,CC,Number of cylinders,Fuel tank capacity,Valve gear type,Peak torque (Nm),Horsepower,Kerb weight,Make,Model,Variant,Lat,Lon
2010,2010 Ford Falcon G6E 50TH Anniversary FG Upgrade,129092,19999,Automatic,Sedan,Rear Wheel Drive,Unleaded Petrol,9.9,Other,6FPAAAJGSWAM40330,John and Murray Autos,"19 Davison Street, Maddington, WA",5,4,3984,6,68,24,391,262,1754,Ford,Falcon,G6E 50TH Anniversary,-32.04286,115.98559
2013,2013 Ford Mondeo Zetec Tdci MC,175931,7999,Other,Wagon,Front Wheel Drive,Diesel,6.2,Silver,WF0GXXGBBGDU04682,Wangara Used Car Centre,"7 Pembroke Road, Wangara, WA",5,4,1997,4,70,16,340,161,1615,Ford,Mondeo,Zetec Tdci,-31.797369,115.818506
2016,2016 Volkswagen Golf 92 TSI Trendline AU MY17,54350,22988,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.4,White,WVWZZZAUZGW274016,Regent,"4 Hocking Road, KINGSLEY, WA",5,5,1395,4,50,16,200,124,1233,Volkswagen,Golf,92 TSI Trendline,-31.80094,115.81669
2014,2014 Holden Captiva 7 LTZ (4X4) CG MY14,72366,14888,Automatic,Suv,All Wheel Drive,Unleaded Petrol,10.1,Silver,KL3CD2659EB010700,Paceway Mitsubishi used,"384 Scarborough Beach Road, Osborne Park, WA",7,4,2997,6,65,24,288,255,1852,Holden,Captiva,7 LTZ (4X4),-31.91151,115.81708
2013,2013 Subaru Forester 2.0D MY13,78662,19999,Manual,Suv,All Wheel Drive,Diesel,5.9,Black,JF2SJDKZ3DG010996,John Hughes Group - Auto Warehouse,"Albany Highway, Victoria Park, WA",5,4,1998,4,60,16,350,145,1510,Subaru,Forester,2.0D,-31.970971650000003,115.89225179909646
2007,2007 Toyota RAV4 Cruiser (4X4) ACA33R,263614,11999,Automatic,Suv,Four Wheel Drive,Unleaded Petrol,9.6,Red,JTMBD31VX05083223,John and Murray Autos,"19 Davison Street, Maddington, WA",5,4,2362,4,60,16,224,168,1590,Toyota,RAV4,Cruiser (4X4),-32.04286,115.98559
2014,2014 Mercedes-Benz C250 Bluetec 205,85440,36888,Automatic,Sedan,Rear Wheel Drive,Diesel,4.5,Black,WDD2050082F099460,Morley City Nissan,"102 Broun Avenue, Morley, WA",5,4,2143,4,66,16,500,202,1585,Mercedes-Benz,C250,Bluetec,-31.9020533,115.9042875
2012,2012 Jeep Grand Cherokee Laredo (4X4) WK MY13,254217,14999,Automatic,Suv,All Wheel Drive,Diesel,8.3,Blue,1C4RJFEMXDC556596,John and Murray Autos,"19 Davison Street, Maddington, WA",5,4,2987,6,93,24,550,238,2191,Jeep,Grand Cherokee,Laredo (4X4),-32.04286,115.98559
2020,2020 Nissan Qashqai N-Sport J11,26701,33888,Continuous Variable,Suv,Front Wheel Drive,Unleaded Petrol,6.9,Black,SJNFBAJ11A2706517,City Toyota Perth,"220 Newcastle Street, Northbridge, WA",5,4,1997,4,65,16,200,143,1392,Nissan,Qashqai,N-Sport,-31.9432313,115.8544195
2021,2021 Volkswagen Polo 70TSI Trendline AW MY21,42293,21987,Automatic,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.0,White,WVWZZZAWZMU081608,Wanneroo Mitsubishi,"6 Lancaster Road, Wangara, WA",5,5,999,3,40,12,175,94,1104,Volkswagen,Polo,70TSI Trendline,-31.79716,115.81643
2016,2016 Mitsubishi Triton GLX MQ MY16 Upgrade,82792,28975,Manual,Ute tray,Rear Wheel Drive,Diesel,7.0,White,MMAYJKK10GH018814,Purely commercials Bibra Lake,"3 Salpietro Street, Bibra Lake, WA",2,2,2440,4,75,16,430,179,1555,Mitsubishi,Triton,GLX,-32.11556,115.79544
2013,2013 Ford Transit LOW (swb) VM MY12 Update,210632,19898,Manual,Commercial,Front Wheel Drive,Diesel,7.2,White,WF0XXXTTFXDC53204,Maddington City Used Cars,"1856 Albany Highway, Maddington, WA",3,2,2198,4,80,16,330,124,1700,Ford,Transit,LOW (swb),-32.0492167,115.9792547
2002,2002 Holden Monaro CV8 V2,189000,32990,Automatic,Coupe,Rear Wheel Drive,Premium Unleaded Petrol,13.0,Red,6H8V2X37F2L888597,DNA CAR SALES,"16 Baretta Road, Wangara, WA",4,2,5665,8,75,16,460,302,1645,Holden,Monaro,CV8,-31.79241,115.82027
2018,2018 Mazda 3 SP25 GT BN MY17,74000,29990,Automatic,Hatch,Front Wheel Drive,Unleaded Petrol,6.1,White,JM0BN543810260141,Osborne Park Mazda used,"430 Scarborough Beach Road, Osborne Park, WA",5,5,2488,4,51,16,250,186,1357,Mazda,3,SP25 GT,-31.90779,115.81192
2013,2013 Volkswagen Amarok TDI420 Highline (4X4) 2H MY13,130829,24990,Automatic,Ute tray,Four Wheel Drive,Diesel,8.3,Black,WV1ZZZ2HZDA065056,Value My Car,"133 Welshpool Road, Welshpool, WA",5,4,1968,4,80,16,420,178,2080,Volkswagen,Amarok,TDI420 Highline (4X4),-31.995224,115.932444
2016,2016 Mazda CX-5 Maxx Sport (4X4) MY15,69034,26990,Automatic,Suv,All Wheel Drive,Unleaded Petrol,7.4,White,JM0KE103200361831,Buy Right Motors WA,"24 Automotive Drive, Wangara, WA",5,4,2488,4,58,16,250,186,1543,Mazda,CX-5,Maxx Sport (4X4),-31.794357,115.817341
2012,2012 Alfa Romeo Giulietta Distinctive,187529,10990,Manual,Hatch,Front Wheel Drive,Premium Unleaded Petrol,5.8,White,ZAR94000007147779,Zai Motors,"1042 Albany Highway, Saint James, WA",5,5,1368,4,60,16,250,168,1290,Alfa Romeo,Giulietta,Distinctive,-31.996515,115.914741
2014,2014 Mercedes-Benz ML400 (4X4) 166 MY14,131524,36990,Automatic,Suv,All Wheel Drive,Premium Unleaded Petrol,9.4,Grey,WDC1660562A384802,Mercedes-Benz Perth used,"1093 Albany Highway, Bentley, WA",5,4,2996,6,93,24,480,329,2147,Mercedes-Benz,ML400,(4X4),-31.999547,115.916029
2016,2016 Ford Ranger XL 2.2 (4X2) PX Mkii,124828,24998,Manual,Ute tray,Rear Wheel Drive,Diesel,6.6,White,MNAUMAF80GW623139,Gardner Commercials,"1308 Albany Highway, Cannington, WA",2,2,2198,4,80,16,385,159,1619,Ford,Ranger,XL 2.2 (4X2),-32.015497,115.931154
2005,2005 Ford Falcon XL BA Mkii,177293,8990,Automatic,Ute tray,Rear Wheel Drive,Unleaded Petrol,11.5,White,6FPAAAJGCM5U29697,Auto Dominus,"8 Parkland Road, Osborne Park, WA",2,2,3984,6,80,24,380,245,1680,Ford,Falcon,XL,-31.91667,115.817585
2016,2016 Toyota Hilux SR (4X4) GUN126R,166000,39990,Automatic,Ute tray,Four Wheel Drive,Diesel,8.5,Blue,MR0KA3CD701188033,DNA CAR SALES,"16 Baretta Road, Wangara, WA",5,4,2753,4,80,16,450,175,2075,Toyota,Hilux,SR (4X4),-31.79241,115.82027
2018,2018 LDV G10 (7 Seat) SV7A,82110,26990,Automatic,Wagon,Rear Wheel Drive,Unleaded Petrol,11.7,White,LSKG4AL10JA057432,Youngs WA,"529 Albany Highway, Victoria Park, WA",7,4,1995,4,75,16,330,215,2057,LDV,G10,(7 Seat),-31.978105,115.89843
2022,2022 Suzuki Jimny GLX (qld),2095,41999,Manual,Suv,Four Wheel Drive,Unleaded Petrol,6.9,White,JSAGJB74V00176270,John Hughes Used Cars Welshpool,"170 Welshpool Road, Welshpool, WA",4,2,1462,4,40,16,130,101,1075,Suzuki,Jimny,GLX (qld),-31.995227,115.938215
2021,2021 Kia Cerato Sport Safety Pack BD MY21,36109,28990,Automatic,Sedan,Front Wheel Drive,Unleaded Petrol,7.4,White,KNAF241CMM5105598,Grand Toyota Wangara used,"1 Lancaster Road, Wangara, WA",5,4,1999,4,50,16,192,151,1320,Kia,Cerato,Sport Safety Pack,-31.796743,115.815802
2016,2016 Kia RIO S UB MY16,58257,14999,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,5.6,Black,KNADN312LG6694379,John Hughes Group - Auto Warehouse,"Albany Highway, Victoria Park, WA",5,3,1396,4,43,16,135,106,1150,Kia,RIO,S,-31.970971650000003,115.89225179909646
2015,2015 Ford Fiesta ST WZ,75285,21999,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,Red,WF0CXXGAKCFK50095,John Hughes Passenger,"196 Albany Highway, Victoria Park, WA",5,3,1596,4,48,16,240,180,1172,Ford,Fiesta,ST,-31.9705,115.89301
2013,2013 Ford Focus Ambiente LW MK2,97826,10985,Manual,Hatch,Front Wheel Drive,Unleaded Petrol,6.2,Red,MPB1XXMXB1DJ26860,Auto Planet WA,"468 Albany Highway, Victoria Park, WA",5,5,1596,4,55,16,159,124,1339,Ford,Focus,Ambiente,-31.976168,115.898473
